Close,Timestamp,High,Low,Open
16893.17,1669786500000,16907.33,16893.17,16898.45
16879.62,1669786800000,16893.44,16871.30,16893.44
16863.64,1669787100000,16878.25,16863.64,16866.54
16883.73,1669787400000,16883.75,16864.82,16871.02
16864.76,1669787700000,16879.60,16864.76,16876.80
16858.19,1669788000000,16864.64,16852.29,16862.17
16843.41,1669788300000,16863.25,16836.21,16862.16
16851.31,1669788600000,16861.43,16840.59,16840.59
16849.23,1669788900000,16856.67,16846.43,16852.54
16857.05,1669789200000,16858.17,16848.70,16850.17
16859.51,1669789500000,16862.17,16852.12,16854.02
16855.14,1669789800000,16861.29,16852.62,16855.76
16851.57,1669790100000,16865.83,16851.57,16864.76
16862.32,1669790400000,16865.62,16851.37,16851.37
16855.04,1669790700000,16862.33,16853.63,16862.33
16855.63,1669791000000,16858.09,16853.19,16853.84
16858.05,1669791300000,16869.68,16856.59,16856.59
16861.69,1669791600000,16868.79,16856.76,16856.76
16867.78,1669791900000,16869.10,16859.94,16868.89
16877.20,1669792200000,16891.80,16868.91,16873.41
16873.06,1669792500000,16891.63,16866.33,16878.35
16873.16,1669792800000,16873.16,16873.06,16873.07
16874.54,1669793100000,16874.55,16873.06,16873.07
16876.68,1669793400000,16878.62,16873.06,16874.89
16878.99,1669793700000,16883.65,16873.44,16879.67
16887.63,1669794000000,16888.68,16876.21,16876.21
16886.42,1669794300000,16887.86,16881.94,16887.72
16899.05,1669794600000,16899.99,16886.43,16888.47
16882.08,1669794900000,16904.62,16882.08,16898.34
16892.42,1669795200000,16893.40,16881.32,16882.09
16893.53,1669795500000,16896.66,16890.10,16894.22
16907.14,1669795800000,16908.72,16893.92,16893.92
16892.13,1669796100000,16921.41,16890.96,16910.90
16901.53,1669796400000,16904.84,16881.00,16889.85
16902.23,1669796700000,16903.08,16900.00,16900.00
16889.26,1669797000000,16901.99,16889.25,16901.36
16886.20,1669797300000,16893.69,16881.76,16892.35
16886.16,1669797600000,16894.43,16882.33,16882.88
16903.82,1669797900000,16905.77,16890.00,16890.00
16890.93,1669798200000,16901.14,16889.01,16898.45
16892.42,1669798500000,16892.42,16882.98,16888.46
16895.93,1669798800000,16996.45,16887.69,16888.59
16891.62,1669799100000,16901.10,16889.54,16900.93
16893.54,1669799400000,16895.35,16888.41,16890.59
16893.38,1669799700000,16896.50,16890.71,16896.49
16885.25,1669800000000,16892.66,16885.10,16890.70
16853.26,1669800300000,16878.80,16846.01,16878.80
16858.92,1669800600000,16869.37,16852.35,16852.35
16865.09,1669800900000,16865.97,16855.86,16860.91
16865.01,1669801200000,16865.09,16861.80,16865.08
16872.47,1669801500000,16875.60,16864.93,16864.93
16872.70,1669801800000,16874.21,16863.40,16874.21
16878.23,1669802100000,16879.96,16872.40,16872.41
16875.91,1669802400000,16881.24,16874.79,16879.36
16875.65,1669802700000,16875.67,16872.43,16872.43
16884.51,1669803000000,16888.73,16875.47,16875.47
16895.58,1669803300000,16897.26,16887.64,16887.64
16893.82,1669803600000,16895.58,16885.41,16890.28
16894.91,1669803900000,16894.91,16888.19,16893.31
16898.05,1669804200000,16900.41,16889.70,16889.76
16887.27,1669804500000,16895.43,16885.27,16892.51
16887.31,1669804800000,16889.60,16884.90,16887.26
16886.20,1669805100000,16887.29,16885.19,16887.29
16881.38,1669805400000,16885.34,16881.38,16885.34
16868.52,1669805700000,16883.57,16868.52,16881.38
16874.29,1669806000000,16877.20,16866.35,16868.53
16879.84,1669806300000,16880.39,16870.31,16872.79
16889.59,1669806600000,16889.60,16880.77,16880.77
16889.19,1669806900000,16889.59,16887.51,16887.51
16888.61,1669807200000,16889.59,16887.61,16889.39
16889.59,1669807500000,16889.59,16889.58,16889.58
16889.59,1669807800000,16889.59,16888.61,16889.58
16883.69,1669808100000,16889.58,16883.69,16889.58
16877.94,1669808400000,16883.71,16877.91,16883.71
16879.96,1669808700000,16882.87,16876.27,16882.87
16881.65,1669809000000,16881.66,16877.64,16879.95
16881.46,1669809300000,16881.65,16880.21,16881.64
16882.92,1669809600000,16886.24,16874.20,16881.53
16880.18,1669809900000,16883.01,16874.02,16878.92
16884.42,1669810200000,16886.51,16877.34,16880.16
16885.07,1669810500000,16887.69,16882.38,16884.40
16874.47,1669810800000,16886.67,16873.06,16882.38
16870.71,1669811100000,16875.80,16868.51,16875.80
16871.27,1669811400000,16873.22,16869.28,16870.43
16839.00,1669811700000,16871.30,16839.00,16871.30
16853.92,1669812000000,16854.63,16843.66,16843.66
16852.65,1669812300000,16854.63,16851.69,16853.92
16843.82,1669812600000,16851.69,16840.46,16851.69
16776.30,1669812900000,16848.28,16775.56,16843.80
16805.49,1669813200000,16808.82,16775.56,16777.19
16792.69,1669813500000,16809.28,16792.69,16809.27
16839.02,1669813800000,16839.09,16785.41,16785.41
16850.85,1669814100000,16859.98,16831.25,16831.25
16883.11,1669814400000,16883.11,16853.24,16853.47
16879.84,1669814700000,16881.45,16868.21,16881.45
16798.13,1669815000000,16858.26,16791.75,16856.39
16820.52,1669815300000,16820.65,16798.18,16798.68
16824.55,1669815600000,16825.24,16811.20,16811.25
16809.18,1669815900000,16825.50,16806.71,16825.50
16810.96,1669816200000,16810.96,16795.25,16809.29
16806.38,1669816500000,16808.35,16727.88,16808.35
16812.62,1669816800000,16812.62,16805.52,16807.66
16826.95,1669817100000,16827.90,16812.65,16812.65
16825.42,1669817400000,16827.00,16820.69,16826.93
16826.60,1669817700000,16829.90,16822.83,16825.51
16821.20,1669818000000,16826.30,16812.48,16824.59
16821.55,1669818300000,16827.79,16813.94,16819.03
16865.03,1669818600000,16874.18,16821.38,16821.39
16825.02,1669818900000,16857.67,16825.00,16857.67
16851.91,1669819200000,16851.91,16830.24,16830.24
16840.88,1669819500000,16854.09,16832.19,16854.09
16839.60,1669819800000,16849.78,16837.63,16843.11
16847.70,1669820100000,16850.62,16843.36,16843.49
16823.48,1669820400000,16840.00,16802.35,16840.00
16827.52,1669820700000,16827.52,16824.95,16825.30
16827.71,1669821000000,16839.30,16827.71,16830.00
16827.11,1669821300000,16829.22,16826.06,16828.60
16826.98,1669821600000,16828.89,16817.67,16825.01
16822.32,1669821900000,16825.03,16809.56,16825.03
16826.48,1669822200000,16826.48,16818.94,16820.69
16840.32,1669822500000,16840.32,16826.28,16826.48
16842.99,1669822800000,16847.56,16838.96,16838.96
16845.17,1669823100000,16845.43,16830.25,16837.51
16849.27,1669823400000,16850.00,16845.25,16845.25
16867.42,1669823700000,16867.42,16846.74,16850.00
